​ p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
​ NONE 0.15 550 0.35 0.95 250
[Violation] Forced reflow while executing JavaScript took 45ms
​ [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ ​
main_content_script @ ​
(anonymous) @ ​
​ 1021 185 34
​ 1022 185 35
​ 1023 185 35
​ 1024 185 36
​ 1025 185 37
​ 1026 185 37
​ 1027 185 38
​ 1028 184 38
​ 1029 185 37
​ 1030 185 37
​ 1031 185 37
​ 1032 185 36
​ 1033 185 36
​ 1034 185 36
​ 1035 187 34
​ 1036 187 34
​ 1037 187 34
​ 1038 187 34
​ 1039 187 34
​ 1040 187 34
​ 1041 187 34
​ 1042 187 34
​ 1043 187 34
​ 1044 187 34
​ 1045 187 34
​ 1046 186 34
​ 1047 185 34
​ 1048 184 34
​ 1049 183 34
​ 1050 183 34
​ 1051 182 34
​ 1052 182 34
​ 1053 183 33
​ 1054 183 33
​ 1055 183 33
​ 1056 184 32
​ 1057 184 32
​ 1058 184 32
​ 1059 184 31
​ 1060 184 31
​ 1061 184 31
​ 1062 183 30
​ 1063 183 30
​ 1064 182 30
​ 1065 182 30
​ 1066 181 29
​ 1067 181 27
​ 1068 181 27
​ 1069 181 27
​ 1070 181 26
​ 1071 181 27
​ 1072 181 26
​ 1073 181 26
​ 1074 181 26
​ [Violation] 'requestAnimationFrame' handler took 69ms
​ 1075 181 26
​ 1076 182 24
​ 1077 182 24
​ 1078 182 24
​ 1079 182 24
​ 1080 183 23
​ 1081 183 24
​ 1082 183 24
​ 1083 181 22
​ 1084 181 21
​ 1085 181 21
​ 1086 179 22
​ 1087 179 22
​ 1088 179 22
​ 1089 178 22
​ 1090 178 21
​ 1091 177 21
​ 1092 176 20
​ 1093 175 20
​ 1094 175 19
​ 1095 175 19
​ 1096 175 19
​ 1097 175 19
​ 1098 175 19
​ 1099 174 19
​ 1100 174 18
​ 1101 173 17
​ 1102 173 17
​ 1103 173 17
​ 1104 173 17
​ 1105 173 17
​ 1106 173 16
​ 1107 172 18
​ 1108 172 18
​ 1109 171 18
​ 1110 171 17
​ 1111 171 16
​ 1112 171 16
​ 1113 170 15
​ 1114 170 15
​ 1115 170 15
​ 1116 169 15
​ 1117 170 13
​ 1118 170 13
​ 1119 170 13
​ 1120 170 13
​ 1121 170 13
​ 1122 170 13
​ 1123 170 12
​ 1124 169 12
​ 1125 169 12
​ 1126 168 12
​ 1127 167 12
​ 1128 167 11
​ 1129 167 11
​ 1130 167 11
​ 1131 167 11
​ 1132 167 11
​ 1133 167 11
​ 1134 166 11
​ 1135 167 10
​ 1136 167 10
​ 1137 166 10
​ 1138 166 10
​ 1139 166 10
​ 1140 166 10
​ 1141 166 11
​ 1142 166 11
​ 1143 166 11
​ 1144 166 11
​ 1145 166 11
​ 1146 166 11
​ 1147 166 11
​ 1148 166 11
​ 1149 166 11
​ 1150 166 11
​ 1151 166 12
​ 1152 166 12
​ 1153 165 13
​ 1154 165 13
​ 1155 164 13
​ 1156 164 13
​ 1157 164 13
​ 1158 164 12
​ 1159 164 12
​ 1160 164 12
​ 1161 164 12
​ 1162 164 12
​ 1163 164 12
​ 1164 164 12
​ 1165 163 12
​ 1166 163 11
​ 1167 164 10
​ 1168 164 10
​ 1169 162 11
​ 1170 162 11
​ 1171 162 11
​ 1172 161 11
​ 1173 162 10
​ 1174 160 10
​ 1175 160 10
​ 1176 160 10
​ 1177 160 10
​ 1178 159 10
​ 1179 159 10
​ 1180 159 10
​ 1181 159 10
​ 1182 158 10
​ 1183 158 10
​ 1184 158 10
​ 1185 158 10
​ 1186 158 10
​ 1187 158 11
​ 1188 157 11
​ 1189 157 11
​ 1190 157 12
​ 1191 157 12
​ 1192 157 12
​ 1193 157 12
​ 1194 157 12
​ 1195 157 12
​ 1196 157 12
​ 1197 156 12
​ 1198 156 12
​ 1199 156 13
​ 1200 156 12
​ 1201 155 12
​ 1202 155 12
​ 1203 155 12
​ 1204 154 12
​ 1205 153 12
​ 1206 153 12
​ 1207 150 12
​ 1208 149 12
​ 1209 150 11
​ 1210 150 11
​ 1211 149 11
​ 1212 148 11
​ 1213 147 11
​ 1214 148 10
​ 1215 148 9
​ 1216 148 9
​ 1217 148 9
​ 1218 148 8
​ 1219 147 8
​ 1220 147 8
​ 1221 147 8
​ 1222 147 8
​ 1223 147 8
​ 1224 147 8
​ 1225 147 7
​ 1226 146 7
​ 1227 145 7
​ 1228 145 10
​ 1229 145 10
​ 1230 145 10
​ 1231 144 10
​ 1232 144 10
​ 1233 144 10
​ 1234 144 10
​ 1235 144 10
​ 1236 144 10
​ 1237 143 10
​ 1238 143 10
​ 1239 140 10
​ 1240 139 10
​ 1241 139 10
​ 1242 138 11
​ 1243 138 11
​ 1244 137 11
​ 1245 137 11
​ 1246 137 11
​ 1247 137 11
​ 1248 137 11
​ 1249 136 11
​ 1250 136 11
​ 1251 136 11
​ 1252 135 10
​ 1253 135 10
​ 1254 135 11
​ 1255 135 11
​ 1256 135 11
​ 1257 135 11
​ 1258 135 11
​ 1259 134 11
​ 1260 134 11
​ 1261 134 11
​ 1262 134 11
​ 1263 133 11
​ 1264 132 11
​ 1265 132 11
​ 1266 132 11
​ 1267 132 11
​ 1268 132 11
​ 1269 132 11
​ 1270 131 11
​ 1271 131 11
​ 1272 131 11
​ 1273 131 11
​ 1274 131 11
​ 1275 131 11
​ 1276 130 11
​ 1277 129 11
​ 1278 129 11
​ 1279 128 12
​ 1280 128 12
​ 1281 128 12
​ 1282 128 12
​ 1283 127 12
​ 1284 126 12
​ 1285 126 12
​ 1286 126 12
​ 1287 126 12
​ 1288 126 12
​ 1289 125 12
​ 1290 124 11
​ 1291 125 12
​ 1292 125 13
​ 1293 124 13
​ 1294 124 13
​ 1295 124 13
​ 1296 124 14
​ 1297 124 13
​ 1298 124 16
​ 1299 124 15
​ 1300 124 16
​ 1301 123 16
​ 1302 122 17
​ 1303 122 16
​ 1304 121 17
​ 1305 120 16
​ 1306 120 16
​ 1307 120 16
​ 1308 120 17
​ 1309 120 17
​ 1310 120 17
​ 1311 120 17
​ 1312 120 17
​ 1313 117 17
​ 1314 117 16
​ 1315 115 16
​ 1316 114 15
​ 1317 114 15
​ 1318 114 15
​ 1319 113 15
​ 1320 113 16
​ 1321 114 15
​ 1322 114 15
​ 1323 114 15
​ 1324 114 15
​ 1325 114 15
​ 1326 113 15
​ 1327 112 15
​ 1328 110 14
​ 1329 110 14
​ 1330 110 14
​ 1331 110 14
​ 1332 110 15
​ 1333 110 16
​ 1334 110 16
​ 1335 110 17
​ 1336 110 17
​ 1337 110 17
​ 1338 110 17
​ 1339 110 17
​ 1340 110 17
​ 1341 110 17
​ 1342 110 17
​ 1343 110 17
​ 1344 110 19
​ 1345 110 20
​ 1346 110 21
​ 1347 110 21
​ 1348 110 21
​ 1349 111 20
​ 1350 111 20
​ 1351 111 19
​ 1352 111 19
​ 1353 112 18
​ 1354 110 18
​ 1355 109 18
​ 1356 109 17
​ 1357 109 21
​ 1358 109 22
​ 1359 109 22
​ 1360 109 22
​ 1361 109 23
​ 1362 109 24
​ 1363 109 24
​ 1364 109 25
​ 1365 109 25
​ 1366 109 25
​ 1367 109 26
​ 1368 109 26
​ 1369 107 25
​ 1370 107 26
​ 1371 107 26
​ 1372 107 26
​ 1373 107 26
​ 1374 107 26
​ 1375 107 26
​ 1376 107 25
​ 1377 107 25
​ 1378 107 26
​ 1379 107 26
​ 1380 107 26
​ 1381 107 26
​ 1382 106 26
​ 1383 106 26
​ 1384 105 26
​ 1385 105 26
​ 1386 105 26
​ 1387 105 26
​ 1388 105 26
​ 1389 105 27
​ 1390 105 27
​ 1391 103 27
​ 1392 102 27
​ 1393 102 27
​ 1394 102 27
​ 1395 102 28
​ 1396 101 28
